#Host Common Name|Host Species|Order|Family|Genus|Species|ITIS Number|Species Type
Eurasian oystercatcher|Haematopus ostralegus|Charadriiformes|Haematopodidae|Haematopus|ostralegus|176469|Avian
American oystercatcher|Haematopus palliatus|Charadriiformes|Haematopodidae|Haematopus|palliatus|176472|Avian
house finch|Haemorhous mexicanus|Passeriformes|Fringillidae|Haemorhous|mexicanus|997805|Avian
purple finch|Haemorhous purpureus|Passeriformes|Fringillidae|Haemorhous|purpureus|997803|Avian
blue-breasted kingfisher|Halcyon malimbica|Coraciiformes|Halcyonidae|Halcyon|malimbica|554591|Avian
black-capped kingfisher|Halcyon pileata|Coraciiformes|Alcedinidae|Halcyon|pileata|554586|Avian
woodland kingfisher|Halcyon senegalensis|Coraciiformes|Halcyonidae|Halcyon|senegalensis|554589|Avian
white-throated kingfisher|Halcyon smyrnensis|Coraciiformes|Alcedinidae|Halcyon|smyrnensis|554585|Avian
bald eagle|Haliaeetus leucocephalus|Accipitriformes|Accipitridae|Haliaeetus|leucocephalus|175420|Avian
brahminy kite|Haliastur indus|Accipitriformes|Accipitridae|Haliastur|indus|175472|Avian
gray seal|Halichoerus grypus|Carnivora|Phocidae|Halichoerus|grypus|180653|Non-human Mammal
collared sunbird|Hedydipna collaris|Passeriformes|Nectariniidae|Hedydipna|collaris|916388|Avian
evening grosbeak|Hesperiphona vespertina|Passeriformes|Fringillidae|Hesperiphona|vespertina|179175|Avian
Blanford's bat|Hesperoptenus blanfordi|Chiroptera|Vespertilionidae|Hesperoptenus|blanfordi|631977|Non-human Mammal
black-headed duck|Heteronetta atricapilla|Anseriformes|Anatidae|Heteronetta|atricapilla|175257|Avian
black-winged stilt|Himantopus himantopus|Charadriiformes|Recurvirostridae|Himantopus|himantopus|176727|Avian
white-backed stilt|Himantopus melanurus|Charadriiformes|Recurvirostridae|Himantopus|melanurus|560444|Avian
black-necked stilt|Himantopus mexicanus|Charadriiformes|Recurvirostridae|Himantopus|mexicanus|176726|Avian
great roundleaf bat|Hipposideros armiger|Chiroptera|Hipposideridae|Hipposideros|armiger|631482|Non-human Mammal
ashy roundleaf bat|Hipposideros cineraceus|Chiroptera|Hipposideridae|Hipposideros|cineraceus|631491|Non-human Mammal
Cantor's roundleaf bat|Hipposideros galeritus|Chiroptera|Hipposideridae|Hipposideros|galeritus|631505|Non-human Mammal
intermediate roundleaf bat|Hipposideros larvatus|Chiroptera|Hipposideridae|Hipposideros|larvatus|631511|Non-human Mammal
Pomona roundleaf bat|Hipposideros pomona|Chiroptera|Hipposideridae|Hipposideros|pomona|631522|Non-human Mammal
Pratt's roundleaf bat|Hipposideros pratti|Chiroptera|Hipposideridae|Hipposideros|pratti|631523|Non-human Mammal
roundleaf bat|Hipposideros sp.|Chiroptera|Hipposideridae|Hipposideros|Unknown|631266|Non-human Mammal
leech|Hirudinida|Hirudinida|Unknown|Unknown|Unknown|1048708|Other
swallow|Hirundinidae|Passeriformes|Hirundinidae|Unknown|Unknown|178423|Avian
barn swallow|Hirundo rustica|Passeriformes|Hirundinidae|Hirundo|rustica|178448|Avian
harlequin duck|Histrionicus histrionicus|Anseriformes|Anatidae|Histrionicus|histrionicus|175149|Avian
ribbon seal|Histriophoca fasciata|Carnivora|Phocidae|Histriophoca|fasciata|622021|Non-human Mammal
human|Homo sapiens|Primates|Hominidae|Homo|sapiens|180092|Human
pied plover|Hoploxypterus cayanus|Charadriiformes|Charadriidae|Hoploxypterus|cayanus|176557|Avian
storm petrel|Hydrobatidae|Procellariiformes|Hydrobatidae|Unknown|Unknown|174619|Avian
little gull|Hydrocoloeus minutus|Charadriiformes|Laridae|Hydrocoloeus|minutus|824065|Avian
pheasant-tailed jacana|Hydrophasianus chirurgus|Charadriiformes|Jacanidae|Hydrophasianus|chirurgus|176459|Avian
green hylia|Hylia prasina|Passeriformes|Sylvioidae|Hylia|prasina|560501|Avian
wood thrush|Hylocichla mustelina|Passeriformes|Turdidae|Hylocichla|mustelina|179777|Avian
purple-headed glossy-starling|Hylopsar purpureiceps|Passeriformes|Sturnidae|Hylopsar|purpureiceps|915890|Avian
purple-headed starling|Hylopsar purpureiceps|Passeriformes|Sturnidae|Hylopsar|purpureiceps|915890|Avian
oriole warbler|Hypergerus atriceps|Passeriformes|Cisticolidae|Hypergerus|atriceps|560540|Avian
purple-naped sunbird|Hypogramma hypogrammicum|Passeriformes|Nectariniidae|Hypogramma|hypogrammicum|560548|Avian
black-naped monarch|Hypothymis azurea|Passeriformes|Monarchidae|Hypothymis|azurea|560552|Avian
Savi's pipistrelle|Hypsugo savii|Chiroptera|Vespertilionidae|Hypsugo|savii|946208|Non-human Mammal
great black-headed gull|Ichthyaetus ichthyaetus|Charadriiformes|Laridae|Ichthyaetus|ichthyaetus|824068|Avian
Pallas's gull|Ichthyaetus ichthyaetus|Charadriiformes|Laridae|Ichthyaetus|ichthyaetus|824068|Avian
Mediterranean gull|Ichthyaetus melanocephalus|Charadriiformes|Laridae|Ichthyaetus|melanocephalus|824070|Avian
relict gull|Ichthyaetus relictus|Charadriiformes|Laridae|Ichthyaetus|relictus|824071|Avian
yellow-breasted chat|Icteria virens|Passeriformes|Incertae sedis|Icteria|virens|178964|Avian
Bullock's oriole|Icterus bullockii|Passeriformes|Icteridae|Icterus|bullockii|554267|Avian
Baltimore oriole|Icterus galbula|Passeriformes|Icteridae|Icterus|galbula|179083|Avian
Altamira oriole|Icterus gularis|Passeriformes|Icteridae|Icterus|gularis|179076|Avian
spot-breasted oriole|Icterus pectoralis|Passeriformes|Icteridae|Icterus|pectoralis|179068|Avian
orchard oriole|Icterus spurius|Passeriformes|Icteridae|Icterus|spurius|179064|Avian
thick-billed warbler|Iduna aedon|Passeriformes|Acrocephalidae|Iduna|aedon|916785|Avian
blackcap illadopsis|Illadopsis cleaveri|Passeriformes|Pellorneidae|Illadopsis|cleaveri|560586|Avian
brown illadopsis|Illadopsis fulvescens|Passeriformes|Pellorneidae|Illadopsis|fulvescens|560587|Avian
Asian fairy-bluebird|Irena puella|Passeriformes|Irenidae|Irena|puella|560609|Avian
cinnamon bittern|Ixobrychus cinnamomeus|Pelecaniformes|Ardeidae|Ixobrychus|cinnamomeus|174853|Avian
little bittern|Ixobrychus minutus|Pelecaniformes|Ardeidae|Ixobrychus|minutus|174850|Avian
yellow bittern|Ixobrychus sinensis|Pelecaniformes|Ardeidae|Ixobrychus|sinensis|174851|Avian
bitterns|Ixobrychus sp.|Pelecaniformes|Ardeidae|Ixobrychus|Unknown|174845|Avian
dwarf bittern|Ixobrychus sturmii|Pelecaniformes|Ardeidae|Ixobrychus|sturmii|174852|Avian
spotted greenbul|Ixonotus guttatus|Passeriformes|Pycnonotidae|Ixonotus|guttatus|560617|Avian
varied thrush|Ixoreus naevius|Passeriformes|Turdidae|Ixoreus|naevius|179773|Avian
wattled jacana|Jacana jacana|Charadriiformes|Jacanidae|Jacana|jacana|560626|Avian
dark-eyed junco|Junco hyemalis|Passeriformes|Emberizidae|Junco|hyemalis|179410|Avian
slate-colored junco|Junco hyemalis hyemalis|Passeriformes|Emberizidae|Junco|hyemalis hyemalis|179412|Avian
Oregon junco|Junco hyemalis oreganus|Passeriformes|Emberizidae|Junco|hyemalis oreganus|179417|Avian
Eurasian wryneck|Jynx torquilla|Piciformes|Picidae|Jynx|torquilla|178150|Avian
Hardwicke's woolly bat|Kerivoula hardwickii|Chiroptera|Vespertilionidae|Kerivoula|hardwickii|631911|Non-human Mammal
vesper bat|Kerivoula sp.|Chiroptera|Vespertilionidae|Kerivoula|Unknown|631374|Non-human Mammal
Atlantic white-sided dolphin|Lagenorhynchus acutus|Cetacea|Delphinidae|Lagenorhynchus|acutus|180443|Non-human Mammal
black-bellied firefinch|Lagonosticta rara|Passeriformes|Estrildidae|Lagonosticta|rara|560647|Avian
African firefinch|Lagonosticta rubricata|Passeriformes|Estrildidae|Lagonosticta|rubricata|560649|Avian
rock ptarmigan|Lagopus muta|Galliformes|Phasianidae|Lagopus|muta|677542|Avian
southern boubou|Laniarius ferrugineus|Passeriformes|Malaconotidae|Laniarius|ferrugineus|560699|Avian
common fiscal|Lanius collaris|Passeriformes|Laniidae|Lanius|collaris|560719|Avian
southern fiscal|Lanius collaris|Passeriformes|Laniidae|Lanius|collaris|560719|Avian
red-backed shrike|Lanius collurio|Passeriformes|Laniidae|Lanius|collurio|560720|Avian
brown shrike|Lanius cristatus|Passeriformes|Laniidae|Lanius|cristatus|178525|Avian
great grey shrike|Lanius excubitor|Passeriformes|Laniidae|Lanius|excubitor|178511|Avian
long-tailed shrike|Lanius schach|Passeriformes|Laniidae|Lanius|schach|560731|Avian
gray-backed shrike|Lanius tephronotus|Passeriformes|Laniidae|Lanius|tephronotus|560736|Avian
gull|Laridae|Charadriiformes|Laridae|Unknown|Unknown|NA|Avian
Inca tern|Larosterna inca|Charadriiformes|Laridae|Larosterna|inca|176950|Avian
European herring gull|Larus argentatus|Charadriiformes|Laridae|Larus|argentatus|176824|Avian
herring gull|Larus argentatus|Charadriiformes|Laridae|Larus|argentatus|176824|Avian
Armenian gull|Larus armenicus|Charadriiformes|Laridae|Larus|armenicus|560740|Avian
Olrog's gull|Larus atlanticus|Charadriiformes|Laridae|Larus|atlanticus|560741|Avian
band-tailed gull|Larus belcheri|Charadriiformes|Laridae|Larus|belcheri|176843|Avian
Caspian gull|Larus cachinnans|Charadriiformes|Laridae|Larus|cachinnans|554270|Avian
Californian gull|Larus californicus|Charadriiformes|Laridae|Larus|californicus|176829|Avian
common gull|Larus canus|Charadriiformes|Laridae|Larus|canus|NA|Avian
mew gull|Larus canus|Charadriiformes|Laridae|Larus|canus|176832|Avian
ring-billed gull|Larus delawarensis|Charadriiformes|Laridae|Larus|delawarensis|176830|Avian
kelp gull|Larus dominicanus|Charadriiformes|Laridae|Larus|dominicanus|176849|Avian
lesser black-backed gull|Larus fuscus|Charadriiformes|Laridae|Larus|fuscus|176821|Avian
glaucous-winged gull|Larus glaucescens|Charadriiformes|Laridae|Larus|glaucescens|176814|Avian
Iceland gull|Larus glaucoides|Charadriiformes|Laridae|Larus|glaucoides|176811|Avian
Heermann's gull|Larus heermanni|Charadriiformes|Laridae|Larus|heermanni|176841|Avian
glaucous gull|Larus hyperboreus|Charadriiformes|Laridae|Larus|hyperboreus|176808|Avian
Nelson's gull|Larus hyperboreus x Larus argentatus|Charadriiformes|Laridae|Larus|hyperboreus|NA|Avian
great black-backed gull|Larus marinus|Charadriiformes|Laridae|Larus|marinus|176815|Avian
yellow-legged gull|Larus michahellis|Charadriiformes|Laridae|Larus|michahellis|824076|Avian
western gull|Larus occidentalis|Charadriiformes|Laridae|Larus|occidentalis|176817|Avian
black-headed gull|Larus ridibundus|Charadriiformes|Laridae|Larus|ridibundus|NA|Avian
slaty-backed gull|Larus schistisagus|Charadriiformes|Laridae|Larus|schistisagus|176816|Avian
American herring gull|Larus smithsonianus|Charadriiformes|Laridae|Larus|smithsonianus|824077|Avian
gull|Larus sp.|Charadriiformes|Laridae|Larus|Unknown|176803|Avian
Mongolian gull|Larus vegae mongolicus|Charadriiformes|Laridae|Larus|vegae mongolicus|824806|Avian
eastern red bat|Lasiurus borealis|Chiroptera|Vespertilionidae|Lasiurus|borealis|180016|Non-human Mammal
hoary bat|Lasiurus cinereus|Chiroptera|Vespertilionidae|Lasiurus|cinereus|180017|Non-human Mammal
ruddy crake|Laterallus ruber|Gruiformes|Rallidae|Laterallus|ruber|176271|Avian
piratic flycatcher|Legatus leucophaius|Passeriformes|Tyrannidae|Legatus|leucophaius|560747|Avian
orange-crowned warbler|Leiothlypis celata|Passeriformes|Parulidae|Leiothlypis|celata|950015|Avian
Tennessee warbler|Leiothlypis peregrina|Passeriformes|Parulidae|Leiothlypis|peregrina|950014|Avian
Nashville warbler|Leiothlypis ruficapilla|Passeriformes|Parulidae|Leiothlypis|ruficapilla|950018|Avian
silver-eared leiothrix|Leiothrix argentauris|Passeriformes|Leiothrichidae|Leiothrix|argentauris|560748|Avian
red-billed leiothrix|Leiothrix lutea|Passeriformes|Leiothrichidae|Leiothrix|lutea|178837|Avian
ring-tailed lemur|Lemur catta|Primates|Lemuridae|Lemur|catta|572872|Non-human Mammal
golden lion tamarin|Leontopithecus rosalia|Primates|Callitrichidae|Leontopithecus|rosalia|572922|Non-human Mammal
Kemp's ridley sea turtle|Lepidochelys kempii|Testudines|Cheloniidae|Lepidochelys|kempii|551770|Other
narrow-billed woodcreeper|Lepidocolaptes angustirostris|Passeriformes|Furnariidae|Lepidocolaptes|angustirostris|560752|Avian
blue-rumped manakin|Lepidothrix isidorei|Passeriformes|Pipridae|Lepidothrix|isidorei|711473|Avian
rabbit|Leporidae|Lagomorpha|Leporidae|Unknown|Unknown|180110|Non-human Mammal
serval|Leptailurus serval|Carnivora|Felidae|Leptailurus|serval|552766|Non-human Mammal
Weddell seal|Leptonychotes weddellii|Carnivora|Phocidae|Leptonychotes|weddellii|180669|Non-human Mammal
slaty-capped flycatcher|Leptopogon superciliaris|Passeriformes|Tyrannidae|Leptopogon|superciliaris|560772|Avian
grey-headed dove|Leptotila plumbeiceps|Columbiformes|Columbidae|Leptotila|plumbeiceps|177175|Avian
white-tipped dove|Leptotila verreauxi|Columbiformes|Columbidae|Leptotila|verreauxi|177166|Avian
imperial shag|Leucocarbo atriceps|Suliformes|Phalacrocoracidae|Leucocarbo|atriceps|824003|Avian
guanay cormorant|Leucocarbo bougainvillii|Suliformes|Phalacrocoracidae|Leucocarbo|bougainvillii|824002|Avian
laughing gull|Leucophaeus atricilla|Charadriiformes|Laridae|Leucophaeus|atricilla|824079|Avian
gray gull|Leucophaeus modestus|Charadriiformes|Laridae|Leucophaeus|modestus|824081|Avian
Franklin's gull|Leucophaeus pipixcan|Charadriiformes|Laridae|Leucophaeus|pipixcan|824082|Avian
dolphin gull|Leucophaeus scoresbii|Charadriiformes|Laridae|Leucophaeus|scoresbii|824083|Avian
broad-billed sandpiper|Limicola falcinellus|Charadriiformes|Scolopacidae|Limicola|falcinellus|176716|Avian
short-billed dowitcher|Limnodromus griseus|Charadriiformes|Scolopacidae|Limnodromus|griseus|176675|Avian
long-billed dowitcher|Limnodromus scolopaceus|Charadriiformes|Scolopacidae|Limnodromus|scolopaceus|176679|Avian
Asian dowitcher|Limnodromus semipalmatus|Charadriiformes|Scolopacidae|Limnodromus|semipalmatus|176680|Avian
dowitcher|Limnodromus sp.|Charadriiformes|Scolopacidae|Limnodromus|Unknown|176674|Avian
marbled godwit|Limosa fedoa|Charadriiformes|Scolopacidae|Limosa|fedoa|176686|Avian
Hudsonian godwit|Limosa haemastica|Charadriiformes|Scolopacidae|Limosa|haemastica|176690|Avian
bar-tailed godwit|Limosa lapponica|Charadriiformes|Scolopacidae|Limosa|lapponica|176687|Avian
black-tailed godwit|Limosa limosa|Charadriiformes|Scolopacidae|Limosa|limosa|176691|Avian
horseshoe crab|Limulus polyphemus|Xiphosura|Limulidae|Limulus|polyphemus|82703|Other
common linnet|Linaria cannabina|Passeriformes|Fringillidae|Linaria|cannabina|997851|Avian
northern right whale dolphin|Lissodelphis borealis|Cetacea|Delphinidae|Lissodelphis|borealis|180454|Non-human Mammal
Pallas's grasshopper warbler|Locustella certhiola|Passeriformes|Locustellidae|Locustella|certhiola|560835|Avian
lanceolated warbler|Locustella lanceolata|Passeriformes|Locustellidae|Locustella|lanceolata|179851|Avian
Savi's warbler|Locustella luscinioides|Passeriformes|Locustellidae|Locustella|luscinioides|560838|Avian
southern black-headed munia|Lonchura atricapilla|Passeriformes|Estrildidae|Lonchura|atricapilla|726104|Avian
black-and-white mannikin|Lonchura bicolor|Passeriformes|Estrildidae|Lonchura|bicolor|560841|Avian
chestnut-breasted munia|Lonchura castaneothorax|Passeriformes|Estrildidae|Lonchura|castaneothorax|560844|Avian
bronze mannikin|Lonchura cucullata|Passeriformes|Estrildidae|Lonchura|cucullata|179615|Avian
black-headed munia|Lonchura malacca|Passeriformes|Estrildidae|Lonchura|malacca|179618|Avian
Java sparrow|Lonchura oryzivora|Passeriformes|Estrildidae|Lonchura|oryzivora|916658|Avian
nutmeg mannikin|Lonchura punctulata|Passeriformes|Estrildidae|Lonchura|punctulata|179619|Avian
scaly-breasted munia|Lonchura punctulata|Passeriformes|Estrildidae|Lonchura|punctulata|179619|Avian
mannikins|Lonchura sp.|Passeriformes|Estrildidae|Lonchura|Unknown|179614|Avian
munia|Lonchura sp.|Passeriformes|Estrildidae|Lonchura|Unknown|179614|Avian
white-rumped munia|Lonchura striata|Passeriformes|Estrildidae|Lonchura|striata|560868|Avian
North American river otter|Lontra canadensis|Carnivora|Mustelidae|Lontra|canadensis|180549|Non-human Mammal
marine otter|Lontra felina|Carnivora|Mustelidae|Lontra|felina|621913|Non-human Mammal
southern river otter|Lontra provocax|Carnivora|Mustelidae|Lontra|provocax|621915|Non-human Mammal
hooded merganser|Lophodytes cucullatus|Anseriformes|Anatidae|Lophodytes|cucullatus|175183|Avian
white-winged crossbill|Loxia leucoptera|Passeriformes|Fringillidae|Loxia|leucoptera|179268|Avian
Siberian rubythroat|Luscinia calliope|Passeriformes|Muscicapidae|Luscinia|calliope|179820|Avian
Siberian blue robin|Luscinia cyane|Passeriformes|Muscicapidae|Luscinia|cyane|554342|Avian
common nightingale|Luscinia megarhynchos|Passeriformes|Muscicapidae|Luscinia|megarhynchos|560897|Avian
bluethroat|Luscinia svecica|Passeriformes|Muscicapidae|Luscinia|svecica|179818|Avian
double-toothed barbet|Lybius bidentatus|Piciformes|Lybiidae|Lybius|bidentatus|554237|Avian
bobcat|Lynx rufus|Carnivora|Felidae|Lynx|rufus|180582|Non-human Mammal
cynomolgus monkey|Macaca fascicularis|Primates|Cercopithecidae|Macaca|fascicularis|180098|Non-human Mammal
macaque|Macaca sp.|Primates|Cercopithecidae|Macaca|Unknown|180097|Non-human Mammal
southern giant petrel|Macronectes giganteus|Procellariiformes|Procellariidae|Macronectes|giganteus|174594|Avian
striped tit-babbler|Macronus gularis|Passeriformes|Timaliidae|Macronus|gularis|916063|Avian
yellow-throated longclaw|Macronyx croceus|Passeriformes|Motacillidae|Macronyx|croceus|560925|Avian
red kangaroo|Macropus rufus|Diprotodontia|Macropodidae|Macropus|rufus|552740|Non-human Mammal
yellow longbill|Macrosphenus flavicans|Passeriformes|Macrosphenidae|Macrosphenus|flavicans|560932|Avian
white-chested puffbird|Malacoptila fusca|Piciformes|Bucconidae|Malacoptila|fusca|554360|Avian
pink-eared duck|Malacorhynchus membranaceus|Anseriformes|Anatidae|Malacorhynchus|membranaceus|175224|Avian
crested malimbe|Malimbus malimbicus|Passeriformes|Ploceidae|Malimbus|malimbicus|560963|Avian
blue-billed malimbe|Malimbus nitens|Passeriformes|Ploceidae|Malimbus|nitens|560964|Avian
green twinspot|Mandingoa nitidula|Passeriformes|Estrildidae|Mandingoa|nitidula|560985|Avian
green-backed twinspot|Mandingoa nitidula|Passeriformes|Estrildidae|Mandingoa|nitidula|560985|Avian
woodchuck|Marmota monax|Rodentia|Sciuridae|Marmota|monax|180137|Non-human Mammal
groundhog|Marmota monax|Rodentia|Sciuridae|Marmota|monax|180137|Non-human Mammal
belted kingfisher|Megaceryle alcyon|Coraciiformes|Alcedinidae|Megaceryle|alcyon|178106|Avian
ringed kingfisher|Megaceryle torquata|Coraciiformes|Cerylidae|Megaceryle|torquata|178109|Avian
greater false vampire bat|Megaderma lyra|Chiroptera|Megadermatidae|Megaderma|lyra|631755|Non-human Mammal
lesser false vampire bat|Megaderma spasma|Chiroptera|Megadermatidae|Megaderma|spasma|631756|Non-human Mammal
striated grassbird|Megalurus palustris|Passeriformes|Locustellidae|Megalurus|palustris|561016|Avian
humpback whale|Megaptera novaeangliae|Cetacea|Balaenopteridae|Megaptera|novaeangliae|180530|Non-human Mammal
boat-billed flycatcher|Megarynchus pitangua|Passeriformes|Tyrannidae|Megarynchus|pitangua|561021|Avian
eastern screech owl|Megascops asio|Strigiformes|Strigidae|Megascops|asio|686658|Avian
golden-fronted woodpecker|Melanerpes aurifrons|Piciformes|Picidae|Melanerpes|aurifrons|178194|Avian
red-bellied woodpecker|Melanerpes carolinus|Piciformes|Picidae|Melanerpes|carolinus|178195|Avian
white-winged scoter|Melanitta deglandi|Anseriformes|Anatidae|Melanitta|deglandi|NA|Avian
velvet scoter|Melanitta fusca|Anseriformes|Anatidae|Melanitta|fusca|175163|Avian
white-winged scoter|Melanitta fusca|Anseriformes|Anatidae|Melanitta|fusca|175163|Avian
white-winged scoter|Melanitta fusca deglandi|Anseriformes|Anatidae|Melanitta|fusca deglandi|175165|Avian
black scoter|Melanitta nigra americana|Anseriformes|Anatidae|Melanitta|nigra americana|175173|Avian
surf scoter|Melanitta perspicillata|Anseriformes|Anatidae|Melanitta|perspicillata|175170|Avian
scoter|Melanitta sp.|Anseriformes|Anatidae|Melanitta|Unknown|175162|Avian
turkey|Meleagris gallopavo|Galliformes|Phasianidae|Meleagris|gallopavo|NA|Avian
wild turkey|Meleagris gallopavo|Galliformes|Phasianidae|Meleagris|gallopavo|176136|Avian
domestic turkey|Meleagris gallopavo domesticus|Galliformes|Phasianidae|Meleagris|gallopavo domesticus|NA|Avian
domestic turkey|Meleagris gallopavo gallopavo|Galliformes|Phasianidae|Meleagris|gallopavo gallopavo|677663|Avian
turkey|Meleagris sp.|Galliformes|Phasianidae|Meleagris|Unknown|176135|Avian
smoky honeyeater|Melipotes fumigatus|Passeriformes|Meliphagidae|Melipotes|fumigatus|561080|Avian
budgerigar|Melopsittacus undulatus|Psittaciformes|Psittaculidae|Melopsittacus|undulatus|177597|Avian
swamp sparrow|Melospiza georgiana|Passeriformes|Emberizidae|Melospiza|georgiana|179488|Avian
Lincoln's sparrow|Melospiza lincolnii|Passeriformes|Emberizidae|Melospiza|lincolnii|179484|Avian
song sparrow|Melospiza melodia|Passeriformes|Emberizidae|Melospiza|melodia|179492|Avian
sloth bear|Melursus ursinus|Carnivora|Ursidae|Melursus|ursinus|621848|Non-human Mammal
striped skunk|Mephitis mephitis|Carnivora|Mephitidae|Mephitis|mephitis|180562|Non-human Mammal
smew|Mergellus albellus|Anseriformes|Anatidae|Mergellus|albellus|175196|Avian
common merganser|Mergus merganser|Anseriformes|Anatidae|Mergus|merganser|175185|Avian
red-breasted merganser|Mergus serrator|Anseriformes|Anatidae|Mergus|serrator|175187|Avian
Sundevall's jird|Meriones crassus|Rodentia|Muridae|Meriones|crassus|632978|Non-human Mammal
Libyan jird|Meriones libycus|Rodentia|Muridae|Meriones|libycus|632980|Non-human Mammal
European bee-eater|Merops apiaster|Coraciiformes|Meropidae|Merops|apiaster|554661|Avian
black bee-eater|Merops gularis|Coraciiformes|Meropidae|Merops|gularis|554643|Avian
chestnut-headed bee-eater|Merops leschenaulti|Coraciiformes|Meropidae|Merops|leschenaulti|554662|Avian
green bee-eater|Merops orientalis|Coraciiformes|Meropidae|Merops|orientalis|554654|Avian
blue-tailed bee-eater|Merops philippinus|Coraciiformes|Meropidae|Merops|philippinus|554659|Avian
little bee-eater|Merops pusillus|Coraciiformes|Meropidae|Merops|pusillus|554647|Avian
golden hamster|Mesocricetus auratus|Rodentia|Cricetidae|Mesocricetus|auratus|632735|Non-human Mammal
North Atlantic beaked whale|Mesoplodon bidens|Cetacea|Hyperoodontidae|Mesoplodon|bidens|180515|Non-human Mammal
dense-beaked whale|Mesoplodon densirostris|Cetacea|Hyperoodontidae|Mesoplodon|densirostris|180517|Non-human Mammal
Stejneger's beaked whale|Mesoplodon stejnegeri|Cetacea|Ziphiidae|Mesoplodon|stejnegeri|180514|Non-human Mammal
bronze-winged jacana|Metopidius indicus|Charadriiformes|Jacanidae|Metopidius|indicus|176461|Avian
little cormorant|Microcarbo niger|Suliformes|Phalacrocoracidae|Microcarbo|niger|823999|Avian
pygmy cormorant|Microcarbo pygmeus|Suliformes|Phalacrocoracidae|Microcarbo|pygmeus|824000|Avian
collared falconet|Microhierax caerulescens|Falconiformes|Falconidae|Microhierax|caerulescens|175683|Avian
chimango caracara|Milvago chimango|Falconiformes|Falconidae|Milvago|chimango|175668|Avian
black kite|Milvus migrans|Accipitriformes|Accipitridae|Milvus|migrans|175469|Avian
red kite|Milvus milvus|Accipitriformes|Accipitridae|Milvus|milvus|175470|Avian
northern mockingbird|Mimus polyglottos|Passeriformes|Mimidae|Mimus|polyglottos|178620|Avian
Schreibers' long-fingered bat|Miniopterus schreibersii|Chiroptera|Miniopteridae|Miniopterus|schreibersii|946266|Non-human Mammal
ochre-bellied flycatcher|Mionectes oleagineus|Passeriformes|Tyrannidae|Mionectes|oleagineus|561135|Avian
northern elephant seal|Mirounga angustirostris|Carnivora|Phocidae|Mirounga|angustirostris|180672|Non-human Mammal
southern elephant seal|Mirounga leonina|Carnivora|Phocidae|Mirounga|leonina|180671|Non-human Mammal
crestless curassow|Mitu tomentosum|Galliformes|Cracidae|Mitu|tomentosum|715222|Avian
black-and-white warbler|Mniotilta varia|Passeriformes|Parulidae|Mniotilta|varia|178844|Avian
Pallas's mastiff bat|Molossus molossus|Chiroptera|Molossidae|Molossus|molossus|180083|Non-human Mammal
velvety free-tailed bat|Molossus sp.|Chiroptera|Molossidae|Molossus|Unknown|180082|Non-human Mammal
brown-headed cowbird|Molothrus ater|Passeriformes|Icteridae|Molothrus|ater|179112|Avian
shiny cowbird|Molothrus bonariensis|Passeriformes|Icteridae|Molothrus|bonariensis|179117|Avian
giant cowbird|Molothrus oryzivorus|Passeriformes|Icteridae|Molothrus|oryzivorus|729212|Avian
blue-diademed motmot|Momotus momota|Coraciiformes|Momotidae|Momotus|momota|554543|Avian
Hawaiian monk seal|Monachus schauinslandi|Carnivora|Phocidae|Monachus|schauinslandi|180661|Non-human Mammal
northern gannet|Morus bassanus|Suliformes|Sulidae|Morus|bassanus|174712|Avian
white wagtail|Motacilla alba|Passeriformes|Motacillidae|Motacilla|alba|178476|Avian
streak-eyed wagtail|Motacilla alba ocularis|Passeriformes|Motacillidae|Motacilla|alba ocularis|178478|Avian
gray wagtail|Motacilla cinerea|Passeriformes|Motacillidae|Motacilla|cinerea|178480|Avian
yellow wagtail|Motacilla flava|Passeriformes|Motacillidae|Motacilla|flava|178483|Avian
black-headed wagtail|Motacilla flava feldegg|Passeriformes|Motacillidae|Motacilla|flava feldegg|920815|Avian
grey-headed wagtail|Motacilla flava thunbergi|Passeriformes|Motacillidae|Motacilla|flava thunbergi|920823|Avian
eastern yellow wagtail|Motacilla tschutschensis|Passeriformes|Motacillidae|Motacilla|tschutschensis|726116|Avian
green-headed wagtail|Motacilla tschutschensis taivana|Passeriformes|Motacillidae|Motacilla|tschutschensis taivana|920827|Avian
round-eared tube-nosed bat|Murina cyclotis|Chiroptera|Vespertilionidae|Murina|cyclotis|632164|Non-human Mammal
Macedonian mouse|Mus macedonicus|Rodentia|Muridae|Mus|macedonicus|585389|Non-human Mammal
house mouse|Mus musculus|Rodentia|Muridae|Mus|musculus|180366|Non-human Mammal
mouse|Mus musculus|Rodentia|Muridae|Mus|musculus|180366|Non-human Mammal
African dusky flycatcher|Muscicapa adusta|Passeriformes|Muscicapidae|Muscicapa|adusta|561232|Avian
dusky-blue flycatcher|Muscicapa comitata|Passeriformes|Muscicapidae|Muscicapa|comitata|561237|Avian
little gray flycatcher|Muscicapa epulata|Passeriformes|Muscicapidae|Muscicapa|epulata|561238|Avian
Asian brown flycatcher|Muscicapa latirostris|Passeriformes|Muscicapidae|Muscicapa|latirostris|916856|Avian
olivaceous flycatcher|Muscicapa olivascens|Passeriformes|Muscicapidae|Muscicapa|olivascens|561245|Avian
yellow-footed flycatcher|Muscicapa sethsmithi|Passeriformes|Muscicapidae|Muscicapa|sethsmithi|561249|Avian
